ship_type,shipname
Tanker,HAFNIA SOYA
Fishing,PL ZAG-17
Tug,STRAZAK 6
Fishing,JAS-79
Pleasure,PIORUN
Tug,KOZIOROZEC-O-01
Tug,BUMER
Cargo,AGNETHE ARCTICA
Tanker,POLA
Fishing,HEL-6
Cargo,ARION
Tug,OCEANOGRAF
Fishing,OCEANOGRAF
Fishing,WLA 250
Tug,ORP KORMORAN
Cargo,PETER PAN
Pleasure,EMPATIA POLSKA
Tug,HERKULES
Pleasure,ATHENA
Fishing,PIA-96
Passenger,TOLL
Pleasure,EUPHORIA
Tug,BOA BISON
Unspecified,VTS 2614900
Cargo,CATHARINA SCHULTE
Tanker,SEAMARLIN
Fishing,CHRISTINA MICHELLE
Fishing,R 355 TRINE LOUISE
Fishing,R 222 BORNOE
Tug,OPAL
Tug,PILOT-3
Tug,ODYS
Tug,BBAS
Tug,KOL-48
Fishing,WLA-307
Fishing,WLA-209 BLANKA
Fishing,WLA-13O
Fishing,WLA 116
Fishing,WLA-254
Tug,NEPTUN W
Fishing,WLA-295
Fishing,WLA310
Fishing,.WLA-311
Fishing,WLA-311
Fishing,WLA-312
Fishing,WLA-184 HELOT
Fishing,WLA-22
Fishing,WLA-6
Fishing,DZI-92 ATILIUS
Fishing,WLA-32
Fishing,KOL-148
Fishing,DZI 85
Fishing,WLA 11
Fishing,WLA-39
Fishing,WLA182
Fishing,WLA-58
Cargo,K1
Fishing,KPT.WISNIEWSKI
Fishing,ANCILLA WLA-68
Pleasure,JUNA
Fishing,KOL-143
Pleasure,ORKA HEL
Tug,FAIRPLAY VII
Pleasure,WYSPA SZCZESCIA
Pleasure,WXA A SZCZESCIA
Pleasure,DAR MLODZIEZY
Tug,HORYZONT II
Tug,ORP MACKO
Tug,ORP FLAMING
Tug,BRYZA
Pleasure,MUSASHI M
Fishing,RUNAVIK GG 44
Fishing,KRISTINA
Fishing,NAUTILUS
Fishing,VITAS
Fishing,RONDO
Fishing,FENIKSS
Fishing,JURMALA
Fishing,MIKADON
Cargo,FRANCISCA
Cargo,ZBASTAR ENDURANCE
Tug,APHRODITE I
Cargo,FJORDVIK
Cargo,LORD BYRON
Tanker,TRANS HOLM
Fishing,HEL-125
Tug,BOA JARL
Pleasure,ARKUN
Fishing,WLA-85
Tug,KOL-149
Pleasure,HYDROMET
Tug,KAMBR
Unspecified,261535003
Pleasure,CARUZZI
Tanker,PALLAS GLORY
Tanker,FURE FLADEN
Tanker,BESIKTAS ICELAND
Cargo,RAMONA
Unspecified,VTS GAOTEBORG
Cargo,HELGE
Tug,SAR 111265121
Cargo,MELUSINE
Cargo,VICTORINE
Tanker,WAASMUNSTER
Tug,HUGIN EXPLORER
Cargo,ASTRORUNNER
Cargo,ARK FORWARDER
Cargo,HANNA
Cargo,BALTICA
Tanker,SEAEMPRESS
Fishing,KRISTIN
Fishing,VICTORIA
Cargo,WALTER HAMMANN
Cargo,AMANDA
Tanker,SCANDINAVIA
Tug,SUPPLIER
Tanker,TARNBRIS
Cargo,TENDER1
Tanker,PACIFIC
Tanker,TERNVAG
Tanker,TERNHAV
Tanker,LEXUS
Fishing,STELLA NOVA
Tanker,SCORPIUS
Tanker,NAUTILUS
Tanker,NIMBUS
Cargo,FREESIA SEAWAYS
Cargo,BEGONIA SEAWAYS
Cargo,MAGNOLIA SEAWAYS
Tanker,HANNE THERESA
Fishing,STJARNVIK
Cargo,PETUNIA SEAWAYS
Cargo,PRIMULA SEAWAYS
Cargo,FICARIA SEAWAYS
Cargo,BIRTHE BRES
Tanker,AALBORG
Tanker,COPENHAGEN
Tanker,VINGA SAFIR
Tanker,NORTHERN OCEAN
Cargo,TRADER BULK
Tanker,FURE NORD
Tug,FRANKLIN
Cargo,NAVEN
Tug,BOB
Tug,SVITZER ODEN
Tug,SVITZER TYR
Cargo,TIDAN
Cargo,EKEN
Tug,SVITZER GAIA
Tug,SVITZER GEO
Cargo,CITY OF ROME
Tanker,GIJON KNUTSEN
Cargo,ANINA
Cargo,ADELINA D
Pleasure,CELESTE OF SOLENT
Tanker,HELENA KOSAN
Unspecified,TAMINA SPIRIT
Tanker,MARIE KIRK
Tanker,KEY BREEZE
Tanker,BOTHNIA
Cargo,MSC AMY
Cargo,PINTA
Tanker,KEY BAY
Cargo,TASMAN
Tanker,KATELINA
Tanker,EURONIKE
Cargo,LURO
Cargo,LECKO
Cargo,FREYA
Cargo,ANJELIERSGRACHT
Tanker,CORAL STICHO
Cargo,CAROLINA
Cargo,PRISCILLA
Tanker,WISBY VERITY
Cargo,SKAGENBANK
Cargo,SOMERSET
Cargo,SLINGEBORG
Cargo,SCHIEBORG
Tanker,THUN GLORY
Tanker,CORAL MEANDRA
Cargo,GRANDE EUROPA
Tanker,INDIAN POINT
Tanker,PROCIDA
Cargo,GRANDE MEDITERRANEO
Tanker,AMUR STAR
Tanker,UMAR1
Tanker,TRANS FJELL
Tanker,PATRICIA
Tanker,PATANI
Tanker,VENERE
Tug,FROG RANA
Cargo,VIONA
Cargo,ANNAMARIE
Tanker,B GAS CHAMPION
Tug,RESCUE BERGESEN D.Y
Tanker,NORTHERN KATTEGAT
Tanker,CLIPPER HARALD
Tanker,EK-STAR
Tug,RESCUE B. RASMUSSEN
Cargo,HOEGH TRIDENT
Fishing,POLAR
Fishing,VASTFJORD II
Cargo,DANUBIA
Tug,BESS
Tug,SJOEBEFAELSSKOLAN
Pleasure,FURUNO SVERIGE AB
Passenger,STENA DANICA
Fishing,SKAGERAK
Passenger,ORIGO
Pleasure,WALONA
Cargo,GUTE
Passenger,STENA JUTLANDICA
Cargo,STOCKHOLM
Fishing,GINNETON
Passenger,HAMNEN
Tug,PILOT 729 SE
Tug,KBV 490
Passenger,NORDO III
Passenger,VESTA
Tug,PILOT 746 SE
Tug,PILOT 745 SE
Unspecified,SOUND CASTOR
Passenger,ALVSNABBEN 5
Passenger,ALVSNABBEN 4
Tug,PILOT 115 SE
Tug,KBV 048
Tug,ALVBJORN
Passenger,ADA
Passenger,BEDA
Passenger,GOTA
Passenger,MARIE
Pleasure,EAGLE
Passenger,NYA SKARGARDEN
Tug,RESCUE LARS LINDFELT
Tug,RESCUE MARTA COLLIN
Passenger,ARLAN
Passenger,ALVSNABBEN 3
Passenger,YLVA
Passenger,VIPAN
Passenger,SKARVEN
Passenger,SILVERTARNAN
Passenger,FROJA
Passenger,FJORDSKAR
Pleasure,NAWICA TRAINING SHIP
Tanker,TANKSKAR
Pleasure,CHESS ARCONA400
Pleasure,EXTREMARIUM
Tug,POLSTJARNAN IV
Pleasure,MANDALAY
Pleasure,PIMPIM
Tug,POLIS 59-3720
Passenger,SVANEN WEST
Pleasure,PENTA 80
Passenger,ALV VIRA AV GOTEBORG
Passenger,DIANA
