ship_type,shipname
Cargo,SEVERNAYA ZEMLYA
Tanker,FREYA
Tanker,BALTIC EAGLE
Cargo,MODULUS 2
Cargo,LAZURITE
Tanker,SCF PECHORA
Tug,NEVSKAYA ZASTAVA
Tug,ARKTUR
Tug,ORION
Cargo,MIKHAIL LOMONOSOV
Unspecified,SPK-25
Cargo,BRIN NAVOLOK
Tanker,LOYA
Tanker,NIMBUS SPB
Tanker,FLANDRIYA
Passenger,MOSKVA-3
Tanker,ALEKSANDR GLUKHOV
Passenger,DUNAEVSKIY
Tanker,ALANA
Tanker,GAZPROMNEFT NORDWEST
Cargo,GEOR.POBEDONOSETS
Tug,DMITRY SIROTKIN
Tanker,GAZPROMNEFT NORD
Tanker,PEGAS
Passenger,VIKING HELGI
Passenger,VIKING INGVAR
Tanker,SESKAR
Tanker,DMITRIY RULEVSKIY
Tanker,NEVA LUX
Tanker,VELTA
Tug,BALTIETS
Tanker,NARVA
Tanker,SBORSHCHIK-3
Cargo,PL 2
Tug,SPK-1DMAG
Tug,GIBRALTAR
Tanker,BALTIC SEAGULL
Tanker,ECOMAR
Tug,MOSCHNIY
Tug,MERKURIY
Tug,MUSON
Tanker,DON
Tug,URAN
Tug,KARU
Tug,KAPITAN ZARUBIN
Tanker,SEVERYANKA
Tug,LOTSMAN FEDOROV
Tug,PROFESSOR LOGACHEV
Tug,AKADEMIK KARPINSKIY
Tug,BGK-326 RIF
Tanker,ELAND
Tanker,GOGLAND
Tug,BOGATYR 4
Tanker,KAP.PONIKAROVSKIY
Tanker,ARIES
Tug,RB-20
Unspecified,RB-27
Tug,MUDYUG
Fishing,ALBATROSS
Cargo,OSTEREMS
Cargo,PAULINE RUSS
Cargo,BOREAS
Cargo,FEHN POLLUX
Cargo,CHRISTOPHER
Cargo,WES AMELIE
Cargo,VIDFOSS
Cargo,SCA TUNADAL
Cargo,CONMAR AVENUE
Cargo,HOOD ISLAND
Cargo,AUTUMN WAVE
Cargo,DANUBE HIGHWAY
Cargo,VALENCIA EXPRESS
Cargo,DURBAN STAR
Cargo,ROZTOCZE
Cargo,AVELONA STAR
Cargo,MIKHAIL DUDIN
Cargo,MSC SANTHYA
Cargo,MSC SABRINA
Cargo,NIKOLAS
Cargo,CITY OF ROTTERDAM
Cargo,ALMENDRO
Cargo,BALTIC PRIME
Cargo,KNOSSOS
Cargo,MAERSK NIAMEY
Cargo,PORT ALFRED
Cargo,ICE RIVER
Cargo,BOMAR VALOUR
Cargo,ADASTRA
Cargo,ZENIT
Cargo,AALDERDIJK
Cargo,ALLEGRA
Cargo,BALTIC HEATHER
Cargo,BALTIC PIONEER
Cargo,BALTIC PATRIOT
Cargo,BALTIC PERFORMER
Cargo,. PRINCE OF WAVES
Cargo,PRINCE OF WAVES
Cargo,ATLANTIC NAVIGATORII
Cargo,INA LOTTE
Cargo,PACIFIC WINTER
Cargo,BARMBEK
Cargo,PAPUA
Cargo,E.R. VISBY
Cargo,CHARLOTTA B
Navigation,ST.-PETERSBURG PT LE
Tug,SVIR
Tug,LOOKMAN
Cargo,SVISLOCH
Tug,GRIPHON 8
Navigation,35
Navigation,36
Tanker,KEILA
Tanker,SBORSCHIK-1
Cargo,CHAROITE
Cargo,PRINCESSE OUI
Tanker,SKAT
Cargo,ZHEN ZHU HAI
Tug,MB-96
Tug,VLADIVOSTOK
Tug,MURMANSK
Tug,C
Tanker,ZANA
Tanker,RONDO
Tanker,SLV-415
Cargo,SAT AIS
Cargo,FEDERAL CEDAR
Tanker,MUDYU
Tug,RRRRGSDGSD
Tug,ELBRUS
Pleasure,FITTER WORKSHOP
Cargo,FITTER
Passenger,KONEVETS
Passenger,FITTER W
Unspecified,TST12
Cargo,BOMAR VANQUISH
Fishing,SUJINYU00618
Unspecified,BLACKPEARL 7.7V
Unspecified,BLACKPEARL 7.6V
Unspecified,BLACKPEARL 7.8V
Unspecified,BLACKPEARL 7.5V
Unspecified,BLACKPEARL 7.4V
Unspecified,BLACKPEARL 7.3V
Tug,REDUT
